candidate,county,party,percentage,popular_vote,state,summary_level
 W. Wilson,Harrison County,DEMOCRAT,0.2%,5,texas,county
 R. De La Fuente,Harrison County,DEMOCRAT,0.1%,2,texas,county
 C. Hawes,Harrison County,DEMOCRAT,0.0%,1,texas,county
 S. Locke,Harrison County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Harrison County,REPUBLICAN,48.1%,"4,995",texas,county
 D. Trump,Harrison County,REPUBLICAN,29.9%,"3,102",texas,county
 M. Rubio,Harrison County,REPUBLICAN,11.5%,"1,195",texas,county
 B. Carson,Harrison County,REPUBLICAN,4.2%,439,texas,county
 J. Kasich,Harrison County,REPUBLICAN,2.9%,298,texas,county
 J. Bush,Harrison County,REPUBLICAN,1.3%,136,texas,county
 Uncommitted,Harrison County,REPUBLICAN,1.1%,109,texas,county
 M. Huckabee,Harrison County,REPUBLICAN,0.6%,61,texas,county
 R. Paul,Harrison County,REPUBLICAN,0.2%,18,texas,county
 C. Christie,Harrison County,REPUBLICAN,0.1%,8,texas,county
 C. Fiorina,Harrison County,REPUBLICAN,0.0%,5,texas,county
 E. Gray,Harrison County,REPUBLICAN,0.0%,5,texas,county
 R. Santorum,Harrison County,REPUBLICAN,0.0%,3,texas,county
 L. Graham,Harrison County,REPUBLICAN,0.0%,1,texas,county
 H. Clinton,Hartley County,DEMOCRAT,55.8%,29,texas,county
 B. Sanders,Hartley County,DEMOCRAT,36.5%,19,texas,county
 W. Wilson,Hartley County,DEMOCRAT,5.8%,3,texas,county
 M. O'Malley,Hartley County,DEMOCRAT,1.9%,1,texas,county
 R. De La Fuente,Hartley County,DEMOCRAT,0.0%,0,texas,county
 C. Hawes,Hartley County,DEMOCRAT,0.0%,0,texas,county
 K. Judd,Hartley County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Hartley County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Hartley County,REPUBLICAN,52.9%,577,texas,county
 D. Trump,Hartley County,REPUBLICAN,22.6%,247,texas,county
 M. Rubio,Hartley County,REPUBLICAN,13.4%,146,texas,county
 B. Carson,Hartley County,REPUBLICAN,5.0%,55,texas,county
 J. Kasich,Hartley County,REPUBLICAN,3.8%,41,texas,county
 J. Bush,Hartley County,REPUBLICAN,0.9%,10,texas,county
 Uncommitted,Hartley County,REPUBLICAN,0.8%,9,texas,county
 C. Christie,Hartley County,REPUBLICAN,0.4%,4,texas,county
 C. Fiorina,Hartley County,REPUBLICAN,0.1%,1,texas,county
 R. Paul,Hartley County,REPUBLICAN,0.1%,1,texas,county
 L. Graham,Hartley County,REPUBLICAN,0.0%,0,texas,county
 E. Gray,Hartley County,REPUBLICAN,0.0%,0,texas,county
 M. Huckabee,Hartley County,REPUBLICAN,0.0%,0,texas,county
 R. Santorum,Hartley County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Haskell County,DEMOCRAT,58.7%,159,texas,county
 B. Sanders,Haskell County,DEMOCRAT,34.3%,93,texas,county
 M. O'Malley,Haskell County,DEMOCRAT,1.8%,5,texas,county
 R. De La Fuente,Haskell County,DEMOCRAT,1.5%,4,texas,county
 K. Judd,Haskell County,DEMOCRAT,1.5%,4,texas,county
 C. Hawes,Haskell County,DEMOCRAT,0.7%,2,texas,county
 S. Locke,Haskell County,DEMOCRAT,0.7%,2,texas,county
 W. Wilson,Haskell County,DEMOCRAT,0.7%,2,texas,county
 T. Cruz,Haskell County,REPUBLICAN,50.6%,409,texas,county
 D. Trump,Haskell County,REPUBLICAN,25.9%,209,texas,county
 M. Rubio,Haskell County,REPUBLICAN,10.1%,82,texas,county
 B. Carson,Haskell County,REPUBLICAN,9.9%,80,texas,county
 J. Kasich,Haskell County,REPUBLICAN,2.1%,17,texas,county
 J. Bush,Haskell County,REPUBLICAN,0.6%,5,texas,county
 M. Huckabee,Haskell County,REPUBLICAN,0.4%,3,texas,county
 Uncommitted,Haskell County,REPUBLICAN,0.2%,2,texas,county
 R. Paul,Haskell County,REPUBLICAN,0.1%,1,texas,county
 C. Christie,Haskell County,REPUBLICAN,0.0%,0,texas,county
 C. Fiorina,Haskell County,REPUBLICAN,0.0%,0,texas,county
 L. Graham,Haskell County,REPUBLICAN,0.0%,0,texas,county
 E. Gray,Haskell County,REPUBLICAN,0.0%,0,texas,county
 R. Santorum,Haskell County,REPUBLICAN,0.0%,0,texas,county
 B. Sanders,Hays County,DEMOCRAT,51.8%,"7,311",texas,county
 H. Clinton,Hays County,DEMOCRAT,46.9%,"6,625",texas,county
 R. De La Fuente,Hays County,DEMOCRAT,0.6%,91,texas,county
 M. O'Malley,Hays County,DEMOCRAT,0.3%,37,texas,county
 C. Hawes,Hays County,DEMOCRAT,0.1%,14,texas,county
 K. Judd,Hays County,DEMOCRAT,0.1%,12,texas,county
 S. Locke,Hays County,DEMOCRAT,0.1%,12,texas,county
 W. Wilson,Hays County,DEMOCRAT,0.1%,11,texas,county
 T. Cruz,Hays County,REPUBLICAN,40.8%,"8,254",texas,county
 D. Trump,Hays County,REPUBLICAN,24.6%,"4,974",texas,county
 M. Rubio,Hays County,REPUBLICAN,21.4%,"4,337",texas,county
 J. Kasich,Hays County,REPUBLICAN,4.8%,977,texas,county
 B. Carson,Hays County,REPUBLICAN,4.7%,948,texas,county
 J. Bush,Hays County,REPUBLICAN,1.3%,259,texas,county
 Uncommitted,Hays County,REPUBLICAN,0.9%,177,texas,county
 R. Paul,Hays County,REPUBLICAN,0.8%,160,texas,county
 M. Huckabee,Hays County,REPUBLICAN,0.2%,50,texas,county
 C. Fiorina,Hays County,REPUBLICAN,0.2%,40,texas,county
 C. Christie,Hays County,REPUBLICAN,0.1%,26,texas,county
 R. Santorum,Hays County,REPUBLICAN,0.1%,15,texas,county
 E. Gray,Hays County,REPUBLICAN,0.0%,10,texas,county
 L. Graham,Hays County,REPUBLICAN,0.0%,5,texas,county
 H. Clinton,Hemphill County,DEMOCRAT,65.2%,15,texas,county
 B. Sanders,Hemphill County,DEMOCRAT,34.8%,8,texas,county
 R. De La Fuente,Hemphill County,DEMOCRAT,0.0%,0,texas,county
 C. Hawes,Hemphill County,DEMOCRAT,0.0%,0,texas,county
 K. Judd,Hemphill County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Hemphill County,DEMOCRAT,0.0%,0,texas,county
 M. O'Malley,Hemphill County,DEMOCRAT,0.0%,0,texas,county
 W. Wilson,Hemphill County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Hemphill County,REPUBLICAN,42.1%,526,texas,county
 D. Trump,Hemphill County,REPUBLICAN,27.9%,349,texas,county
 M. Rubio,Hemphill County,REPUBLICAN,14.6%,182,texas,county
 B. Carson,Hemphill County,REPUBLICAN,5.8%,73,texas,county
 J. Kasich,Hemphill County,REPUBLICAN,3.8%,48,texas,county
 Uncommitted,Hemphill County,REPUBLICAN,3.0%,37,texas,county
 J. Bush,Hemphill County,REPUBLICAN,1.8%,22,texas,county
 M. Huckabee,Hemphill County,REPUBLICAN,0.2%,3,texas,county
 R. Paul,Hemphill County,REPUBLICAN,0.2%,3,texas,county
 C. Christie,Hemphill County,REPUBLICAN,0.2%,2,texas,county
 L. Graham,Hemphill County,REPUBLICAN,0.2%,2,texas,county
 C. Fiorina,Hemphill County,REPUBLICAN,0.1%,1,texas,county
 E. Gray,Hemphill County,REPUBLICAN,0.1%,1,texas,county
 R. Santorum,Hemphill County,REPUBLICAN,0.1%,1,texas,county
 H. Clinton,Henderson County,DEMOCRAT,71.6%,"1,593",texas,county
 B. Sanders,Henderson County,DEMOCRAT,26.9%,598,texas,county
 W. Wilson,Henderson County,DEMOCRAT,0.5%,11,texas,county
 M. O'Malley,Henderson County,DEMOCRAT,0.3%,7,texas,county
 K. Judd,Henderson County,DEMOCRAT,0.3%,6,texas,county
 C. Hawes,Henderson County,DEMOCRAT,0.2%,4,texas,county
 S. Locke,Henderson County,DEMOCRAT,0.2%,4,texas,county
 R. De La Fuente,Henderson County,DEMOCRAT,0.1%,3,texas,county
 T. Cruz,Henderson County,REPUBLICAN,46.2%,"7,027",texas,county
 D. Trump,Henderson County,REPUBLICAN,30.6%,"4,655",texas,county
 M. Rubio,Henderson County,REPUBLICAN,11.8%,"1,800",texas,county
 B. Carson,Henderson County,REPUBLICAN,4.5%,687,texas,county
 J. Kasich,Henderson County,REPUBLICAN,2.7%,412,texas,county
 J. Bush,Henderson County,REPUBLICAN,1.8%,268,texas,county
 Uncommitted,Henderson County,REPUBLICAN,1.5%,227,texas,county
 M. Huckabee,Henderson County,REPUBLICAN,0.3%,41,texas,county
 R. Paul,Henderson County,REPUBLICAN,0.2%,38,texas,county
 C. Christie,Henderson County,REPUBLICAN,0.2%,24,texas,county
 R. Santorum,Henderson County,REPUBLICAN,0.1%,13,texas,county
 C. Fiorina,Henderson County,REPUBLICAN,0.1%,11,texas,county
 L. Graham,Henderson County,REPUBLICAN,0.0%,7,texas,county
 E. Gray,Henderson County,REPUBLICAN,0.0%,3,texas,county
 H. Clinton,Hidalgo County,DEMOCRAT,69.1%,"40,276",texas,county
 B. Sanders,Hidalgo County,DEMOCRAT,27.3%,"15,894",texas,county
 R. De La Fuente,Hidalgo County,DEMOCRAT,1.9%,"1,118",texas,county
 M. O'Malley,Hidalgo County,DEMOCRAT,0.7%,392,texas,county
 W. Wilson,Hidalgo County,DEMOCRAT,0.3%,195,texas,county
 C. Hawes,Hidalgo County,DEMOCRAT,0.3%,191,texas,county
 K. Judd,Hidalgo County,DEMOCRAT,0.2%,135,texas,county
 S. Locke,Hidalgo County,DEMOCRAT,0.2%,119,texas,county
 T. Cruz,Hidalgo County,REPUBLICAN,38.1%,"7,098",texas,county
 D. Trump,Hidalgo County,REPUBLICAN,29.6%,"5,521",texas,county
 M. Rubio,Hidalgo County,REPUBLICAN,22.3%,"4,153",texas,county
 B. Carson,Hidalgo County,REPUBLICAN,4.1%,765,texas,county
 J. Kasich,Hidalgo County,REPUBLICAN,2.2%,412,texas,county
 J. Bush,Hidalgo County,REPUBLICAN,1.8%,327,texas,county
 Uncommitted,Hidalgo County,REPUBLICAN,0.9%,160,texas,county
 R. Paul,Hidalgo County,REPUBLICAN,0.4%,78,texas,county
 C. Fiorina,Hidalgo County,REPUBLICAN,0.2%,40,texas,county
 M. Huckabee,Hidalgo County,REPUBLICAN,0.1%,27,texas,county
 C. Christie,Hidalgo County,REPUBLICAN,0.1%,25,texas,county
 E. Gray,Hidalgo County,REPUBLICAN,0.1%,20,texas,county
 R. Santorum,Hidalgo County,REPUBLICAN,0.1%,15,texas,county
 L. Graham,Hidalgo County,REPUBLICAN,0.1%,11,texas,county
 H. Clinton,Hill County,DEMOCRAT,69.1%,718,texas,county
 B. Sanders,Hill County,DEMOCRAT,28.6%,297,texas,county
 C. Hawes,Hill County,DEMOCRAT,0.7%,7,texas,county
 K. Judd,Hill County,DEMOCRAT,0.5%,5,texas,county
 M. O'Malley,Hill County,DEMOCRAT,0.4%,4,texas,county
 R. De La Fuente,Hill County,DEMOCRAT,0.3%,3,texas,county
 W. Wilson,Hill County,DEMOCRAT,0.3%,3,texas,county
 S. Locke,Hill County,DEMOCRAT,0.2%,2,texas,county
 T. Cruz,Hill County,REPUBLICAN,44.9%,"4,003",texas,county
 D. Trump,Hill County,REPUBLICAN,32.5%,"2,900",texas,county
 M. Rubio,Hill County,REPUBLICAN,10.4%,925,texas,county
 B. Carson,Hill County,REPUBLICAN,4.6%,409,texas,county
 J. Kasich,Hill County,REPUBLICAN,2.3%,205,texas,county
 J. Bush,Hill County,REPUBLICAN,2.2%,194,texas,county
 Uncommitted,Hill County,REPUBLICAN,1.9%,172,texas,county
 C. Christie,Hill County,REPUBLICAN,0.6%,55,texas,county
 R. Paul,Hill County,REPUBLICAN,0.2%,20,texas,county
 M. Huckabee,Hill County,REPUBLICAN,0.2%,17,texas,county
 E. Gray,Hill County,REPUBLICAN,0.1%,11,texas,county
 R. Santorum,Hill County,REPUBLICAN,0.1%,6,texas,county
 C. Fiorina,Hill County,REPUBLICAN,0.1%,5,texas,county
 L. Graham,Hill County,REPUBLICAN,0.0%,3,texas,county
 H. Clinton,Hockley County,DEMOCRAT,58.3%,183,texas,county
 B. Sanders,Hockley County,DEMOCRAT,36.9%,116,texas,county
 R. De La Fuente,Hockley County,DEMOCRAT,1.9%,6,texas,county
 M. O'Malley,Hockley County,DEMOCRAT,1.6%,5,texas,county
 S. Locke,Hockley County,DEMOCRAT,0.6%,2,texas,county
 K. Judd,Hockley County,DEMOCRAT,0.3%,1,texas,county
 W. Wilson,Hockley County,DEMOCRAT,0.3%,1,texas,county
 C. Hawes,Hockley County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Hockley County,REPUBLICAN,50.4%,"2,073",texas,county
 D. Trump,Hockley County,REPUBLICAN,24.7%,"1,017",texas,county
 M. Rubio,Hockley County,REPUBLICAN,12.8%,525,texas,county
 B. Carson,Hockley County,REPUBLICAN,6.4%,264,texas,county
 J. Kasich,Hockley County,REPUBLICAN,1.9%,80,texas,county
 Uncommitted,Hockley County,REPUBLICAN,1.6%,65,texas,county
 J. Bush,Hockley County,REPUBLICAN,1.4%,57,texas,county
 M. Huckabee,Hockley County,REPUBLICAN,0.4%,15,texas,county
 R. Paul,Hockley County,REPUBLICAN,0.2%,9,texas,county
 C. Fiorina,Hockley County,REPUBLICAN,0.1%,3,texas,county
 R. Santorum,Hockley County,REPUBLICAN,0.0%,2,texas,county
 C. Christie,Hockley County,REPUBLICAN,0.0%,1,texas,county
 L. Graham,Hockley County,REPUBLICAN,0.0%,1,texas,county
 E. Gray,Hockley County,REPUBLICAN,0.0%,1,texas,county
 H. Clinton,Hood County,DEMOCRAT,62.6%,928,texas,county
 B. Sanders,Hood County,DEMOCRAT,35.6%,527,texas,county
 K. Judd,Hood County,DEMOCRAT,0.4%,6,texas,county
 M. O'Malley,Hood County,DEMOCRAT,0.4%,6,texas,county
 S. Locke,Hood County,DEMOCRAT,0.3%,5,texas,county
 W. Wilson,Hood County,DEMOCRAT,0.3%,5,texas,county
 R. De La Fuente,Hood County,DEMOCRAT,0.2%,3,texas,county
 C. Hawes,Hood County,DEMOCRAT,0.1%,2,texas,county
 T. Cruz,Hood County,REPUBLICAN,41.9%,"5,948",texas,county
 D. Trump,Hood County,REPUBLICAN,31.7%,"4,511",texas,county
 M. Rubio,Hood County,REPUBLICAN,14.7%,"2,089",texas,county
 B. Carson,Hood County,REPUBLICAN,5.0%,715,texas,county
 J. Kasich,Hood County,REPUBLICAN,3.3%,471,texas,county
 Uncommitted,Hood County,REPUBLICAN,1.3%,189,texas,county
 J. Bush,Hood County,REPUBLICAN,1.3%,178,texas,county
 R. Paul,Hood County,REPUBLICAN,0.3%,38,texas,county
 M. Huckabee,Hood County,REPUBLICAN,0.2%,26,texas,county
 C. Christie,Hood County,REPUBLICAN,0.1%,19,texas,county
 C. Fiorina,Hood County,REPUBLICAN,0.1%,11,texas,county
 R. Santorum,Hood County,REPUBLICAN,0.1%,9,texas,county
 L. Graham,Hood County,REPUBLICAN,0.0%,5,texas,county
 E. Gray,Hood County,REPUBLICAN,0.0%,3,texas,county
 H. Clinton,Hopkins County,DEMOCRAT,66.8%,628,texas,county
 B. Sanders,Hopkins County,DEMOCRAT,31.7%,298,texas,county
 R. De La Fuente,Hopkins County,DEMOCRAT,0.4%,4,texas,county
 M. O'Malley,Hopkins County,DEMOCRAT,0.4%,4,texas,county
 W. Wilson,Hopkins County,DEMOCRAT,0.3%,3,texas,county
 K. Judd,Hopkins County,DEMOCRAT,0.2%,2,texas,county
 C. Hawes,Hopkins County,DEMOCRAT,0.1%,1,texas,county
 S. Locke,Hopkins County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Hopkins County,REPUBLICAN,46.2%,"3,213",texas,county
 D. Trump,Hopkins County,REPUBLICAN,29.8%,"2,069",texas,county
 M. Rubio,Hopkins County,REPUBLICAN,12.2%,848,texas,county
 B. Carson,Hopkins County,REPUBLICAN,5.5%,384,texas,county
 J. Kasich,Hopkins County,REPUBLICAN,2.2%,154,texas,county
 Uncommitted,Hopkins County,REPUBLICAN,1.7%,116,texas,county
 J. Bush,Hopkins County,REPUBLICAN,1.3%,91,texas,county
 M. Huckabee,Hopkins County,REPUBLICAN,0.6%,42,texas,county
 R. Santorum,Hopkins County,REPUBLICAN,0.1%,10,texas,county
 R. Paul,Hopkins County,REPUBLICAN,0.1%,9,texas,county
 C. Fiorina,Hopkins County,REPUBLICAN,0.1%,4,texas,county
 C. Christie,Hopkins County,REPUBLICAN,0.0%,3,texas,county
 L. Graham,Hopkins County,REPUBLICAN,0.0%,3,texas,county
 E. Gray,Hopkins County,REPUBLICAN,0.0%,3,texas,county
 H. Clinton,Houston County,DEMOCRAT,80.0%,464,texas,county
 B. Sanders,Houston County,DEMOCRAT,17.4%,101,texas,county
 K. Judd,Houston County,DEMOCRAT,0.9%,5,texas,county
 W. Wilson,Houston County,DEMOCRAT,0.9%,5,texas,county
 R. De La Fuente,Houston County,DEMOCRAT,0.3%,2,texas,county
 S. Locke,Houston County,DEMOCRAT,0.3%,2,texas,county
 M. O'Malley,Houston County,DEMOCRAT,0.2%,1,texas,county
 C. Hawes,Houston County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Houston County,REPUBLICAN,48.9%,"2,137",texas,county
 D. Trump,Houston County,REPUBLICAN,33.7%,"1,473",texas,county
 M. Rubio,Houston County,REPUBLICAN,8.7%,381,texas,county
 B. Carson,Houston County,REPUBLICAN,4.1%,181,texas,county
 J. Kasich,Houston County,REPUBLICAN,1.9%,84,texas,county
 J. Bush,Houston County,REPUBLICAN,1.0%,43,texas,county
 Uncommitted,Houston County,REPUBLICAN,1.0%,43,texas,county
 M. Huckabee,Houston County,REPUBLICAN,0.2%,9,texas,county
 R. Paul,Houston County,REPUBLICAN,0.2%,7,texas,county
 C. Fiorina,Houston County,REPUBLICAN,0.1%,6,texas,county
 C. Christie,Houston County,REPUBLICAN,0.1%,5,texas,county
 R. Santorum,Houston County,REPUBLICAN,0.1%,3,texas,county
 L. Graham,Houston County,REPUBLICAN,0.0%,0,texas,county
 E. Gray,Houston County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Howard County,DEMOCRAT,63.5%,350,texas,county
 B. Sanders,Howard County,DEMOCRAT,34.7%,191,texas,county
 R. De La Fuente,Howard County,DEMOCRAT,0.5%,3,texas,county
 K. Judd,Howard County,DEMOCRAT,0.5%,3,texas,county
 M. O'Malley,Howard County,DEMOCRAT,0.4%,2,texas,county
 C. Hawes,Howard County,DEMOCRAT,0.2%,1,texas,county
 W. Wilson,Howard County,DEMOCRAT,0.2%,1,texas,county
 S. Locke,Howard County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Howard County,REPUBLICAN,48.0%,"1,822",texas,county
 D. Trump,Howard County,REPUBLICAN,28.5%,"1,084",texas,county
 M. Rubio,Howard County,REPUBLICAN,12.6%,477,texas,county
 B. Carson,Howard County,REPUBLICAN,5.5%,209,texas,county
 J. Kasich,Howard County,REPUBLICAN,1.7%,65,texas,county
 J. Bush,Howard County,REPUBLICAN,1.7%,63,texas,county
 Uncommitted,Howard County,REPUBLICAN,1.2%,44,texas,county
 M. Huckabee,Howard County,REPUBLICAN,0.4%,15,texas,county
 C. Christie,Howard County,REPUBLICAN,0.2%,7,texas,county
 R. Paul,Howard County,REPUBLICAN,0.2%,7,texas,county
 R. Santorum,Howard County,REPUBLICAN,0.1%,4,texas,county
 C. Fiorina,Howard County,REPUBLICAN,0.0%,1,texas,county
 L. Graham,Howard County,REPUBLICAN,0.0%,1,texas,county
 E. Gray,Howard County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Hudspeth County,DEMOCRAT,53.8%,147,texas,county
 B. Sanders,Hudspeth County,DEMOCRAT,35.5%,97,texas,county
 R. De La Fuente,Hudspeth County,DEMOCRAT,3.7%,10,texas,county
 S. Locke,Hudspeth County,DEMOCRAT,2.2%,6,texas,county
 W. Wilson,Hudspeth County,DEMOCRAT,2.2%,6,texas,county
 M. O'Malley,Hudspeth County,DEMOCRAT,1.5%,4,texas,county
 K. Judd,Hudspeth County,DEMOCRAT,0.7%,2,texas,county
 C. Hawes,Hudspeth County,DEMOCRAT,0.4%,1,texas,county
 D. Trump,Hudspeth County,REPUBLICAN,39.0%,76,texas,county
 T. Cruz,Hudspeth County,REPUBLICAN,36.4%,71,texas,county
 M. Rubio,Hudspeth County,REPUBLICAN,13.3%,26,texas,county
 B. Carson,Hudspeth County,REPUBLICAN,5.6%,11,texas,county
 C. Christie,Hudspeth County,REPUBLICAN,4.6%,9,texas,county
 M. Huckabee,Hudspeth County,REPUBLICAN,1.0%,2,texas,county
 J. Bush,Hudspeth County,REPUBLICAN,0.0%,0,texas,county
 C. Fiorina,Hudspeth County,REPUBLICAN,0.0%,0,texas,county
 L. Graham,Hudspeth County,REPUBLICAN,0.0%,0,texas,county
 E. Gray,Hudspeth County,REPUBLICAN,0.0%,0,texas,county
 J. Kasich,Hudspeth County,REPUBLICAN,0.0%,0,texas,county
 R. Paul,Hudspeth County,REPUBLICAN,0.0%,0,texas,county
 R. Santorum,Hudspeth County,REPUBLICAN,0.0%,0,texas,county
 Uncommitted,Hudspeth County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Hunt County,DEMOCRAT,60.5%,"1,328",texas,county
 B. Sanders,Hunt County,DEMOCRAT,38.6%,847,texas,county
 M. O'Malley,Hunt County,DEMOCRAT,0.3%,6,texas,county
 R. De La Fuente,Hunt County,DEMOCRAT,0.2%,4,texas,county
 K. Judd,Hunt County,DEMOCRAT,0.1%,3,texas,county
 W. Wilson,Hunt County,DEMOCRAT,0.1%,3,texas,county
 C. Hawes,Hunt County,DEMOCRAT,0.1%,2,texas,county
 S. Locke,Hunt County,DEMOCRAT,0.1%,2,texas,county
 T. Cruz,Hunt County,REPUBLICAN,50.1%,"7,249",texas,county
 D. Trump,Hunt County,REPUBLICAN,29.1%,"4,203",texas,county
 M. Rubio,Hunt County,REPUBLICAN,11.4%,"1,650",texas,county
 B. Carson,Hunt County,REPUBLICAN,4.2%,604,texas,county
 J. Kasich,Hunt County,REPUBLICAN,2.4%,352,texas,county
 Uncommitted,Hunt County,REPUBLICAN,1.2%,178,texas,county
 J. Bush,Hunt County,REPUBLICAN,1.0%,140,texas,county
 M. Huckabee,Hunt County,REPUBLICAN,0.2%,32,texas,county
 R. Paul,Hunt County,REPUBLICAN,0.2%,27,texas,county
 C. Christie,Hunt County,REPUBLICAN,0.1%,10,texas,county
 C. Fiorina,Hunt County,REPUBLICAN,0.0%,7,texas,county
 R. Santorum,Hunt County,REPUBLICAN,0.0%,3,texas,county
 L. Graham,Hunt County,REPUBLICAN,0.0%,1,texas,county
 E. Gray,Hunt County,REPUBLICAN,0.0%,1,texas,county
 H. Clinton,Hutchinson County,DEMOCRAT,56.5%,153,texas,county
 B. Sanders,Hutchinson County,DEMOCRAT,38.0%,103,texas,county
 R. De La Fuente,Hutchinson County,DEMOCRAT,1.5%,4,texas,county
 K. Judd,Hutchinson County,DEMOCRAT,1.1%,3,texas,county
 M. O'Malley,Hutchinson County,DEMOCRAT,1.1%,3,texas,county
 W. Wilson,Hutchinson County,DEMOCRAT,1.1%,3,texas,county
 C. Hawes,Hutchinson County,DEMOCRAT,0.4%,1,texas,county
 S. Locke,Hutchinson County,DEMOCRAT,0.4%,1,texas,county
 T. Cruz,Hutchinson County,REPUBLICAN,47.4%,"2,418",texas,county
 D. Trump,Hutchinson County,REPUBLICAN,27.7%,"1,413",texas,county
 M. Rubio,Hutchinson County,REPUBLICAN,9.8%,499,texas,county
 B. Carson,Hutchinson County,REPUBLICAN,5.4%,277,texas,county
 Uncommitted,Hutchinson County,REPUBLICAN,2.4%,123,texas,county
 L. Graham,Hutchinson County,REPUBLICAN,2.3%,117,texas,county
 J. Kasich,Hutchinson County,REPUBLICAN,1.8%,91,texas,county
 J. Bush,Hutchinson County,REPUBLICAN,1.6%,81,texas,county
 M. Huckabee,Hutchinson County,REPUBLICAN,0.6%,32,texas,county
 R. Paul,Hutchinson County,REPUBLICAN,0.5%,27,texas,county
 R. Santorum,Hutchinson County,REPUBLICAN,0.2%,11,texas,county
 C. Christie,Hutchinson County,REPUBLICAN,0.2%,8,texas,county
 C. Fiorina,Hutchinson County,REPUBLICAN,0.1%,4,texas,county
 E. Gray,Hutchinson County,REPUBLICAN,0.1%,4,texas,county
 H. Clinton,Irion County,DEMOCRAT,65.1%,28,texas,county
 B. Sanders,Irion County,DEMOCRAT,32.6%,14,texas,county
 C. Hawes,Irion County,DEMOCRAT,2.3%,1,texas,county
 R. De La Fuente,Irion County,DEMOCRAT,0.0%,0,texas,county
 K. Judd,Irion County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Irion County,DEMOCRAT,0.0%,0,texas,county
 M. O'Malley,Irion County,DEMOCRAT,0.0%,0,texas,county
 W. Wilson,Irion County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Irion County,REPUBLICAN,55.2%,228,texas,county
 D. Trump,Irion County,REPUBLICAN,22.0%,91,texas,county
 M. Rubio,Irion County,REPUBLICAN,14.0%,58,texas,county
 B. Carson,Irion County,REPUBLICAN,6.1%,25,texas,county
 J. Kasich,Irion County,REPUBLICAN,1.7%,7,texas,county
 J. Bush,Irion County,REPUBLICAN,0.5%,2,texas,county
 L. Graham,Irion County,REPUBLICAN,0.2%,1,texas,county
 Uncommitted,Irion County,REPUBLICAN,0.2%,1,texas,county
 C. Christie,Irion County,REPUBLICAN,0.0%,0,texas,county
 C. Fiorina,Irion County,REPUBLICAN,0.0%,0,texas,county
 E. Gray,Irion County,REPUBLICAN,0.0%,0,texas,county
 M. Huckabee,Irion County,REPUBLICAN,0.0%,0,texas,county
 R. Paul,Irion County,REPUBLICAN,0.0%,0,texas,county
 R. Santorum,Irion County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Jack County,DEMOCRAT,62.1%,87,texas,county
 B. Sanders,Jack County,DEMOCRAT,32.9%,46,texas,county
 R. De La Fuente,Jack County,DEMOCRAT,1.4%,2,texas,county
 M. O'Malley,Jack County,DEMOCRAT,1.4%,2,texas,county
 K. Judd,Jack County,DEMOCRAT,0.7%,1,texas,county
 S. Locke,Jack County,DEMOCRAT,0.7%,1,texas,county
 W. Wilson,Jack County,DEMOCRAT,0.7%,1,texas,county
 C. Hawes,Jack County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Jack County,REPUBLICAN,49.5%,943,texas,county
 D. Trump,Jack County,REPUBLICAN,33.8%,644,texas,county
 M. Rubio,Jack County,REPUBLICAN,9.2%,176,texas,county
 B. Carson,Jack County,REPUBLICAN,3.1%,60,texas,county
 Uncommitted,Jack County,REPUBLICAN,1.9%,36,texas,county
 J. Kasich,Jack County,REPUBLICAN,0.9%,18,texas,county
 J. Bush,Jack County,REPUBLICAN,0.8%,16,texas,county
 R. Paul,Jack County,REPUBLICAN,0.2%,4,texas,county
